Restaurants Saudi Arabia,Name,Description,Primary Industry,Size,Type,Location,Country,Domain,LinkedIn URL,Enrich company,Instagram (Company),Business Phone Number,Phone Number,,
,Bohoo,"We are a registered trade mark under Nahez company. Bohoo is an all day breakfast and diner. We are a Saudi firm. Our headquarter office is located in Taif city - Saudi Arabia. 

About us:

coming from the Bohemian lifestyle and culture we bring to the market “Sir Bohoo” or just Bohoo. An adventurous wanderer, A dream catcher who believes that the night air is filled with good dreams. A man with unexpected tastes and has a strong desire to Experiment. An artist, a story teller, A collector of things that will remind him of his travels.

 

In this concept we are mixing three different cuisines, The Middle eastern cuisine, The Italian cuisine and the American cuisine. Bohoo is built for the middle-class families. Customers will enjoy Fresh products, fresh ingredients and fresh music! Bohoo also has a section for coffee addicts in which we will be serving customers the best coffee experience in town.

The Vision:

To become the first local choice for breakfast lovers and dinners.

 

Mission statement:

Be loyal, be serious, be passionate, be optimistic, be fixable, be kind, be dedicated

and never be lazy!",Restaurants,11-50 employees,Partnership,"Aţ Ţā’if, MAK, Saudi Arabia",Saudi Arabia,nhaez.sa,https://www.linkedin.com/company/bohooksa,Bohoo,https://www.instagram.com/bohoo_ksa/,Response,+966566693443,,
,Burj Al Hamam | برج الحمام,"BAH is a proud Saudi brand, founded 45 years ago (in 1979). Throughout the years, BAH’s Core values are authentic taste warmth and the generous spirit of Lebanese hospitality. These have been constantly delivered, since 1979 – Across branches and across generations.

Our iconic branch is Takhassusi, the one recalled by the old generation of Riyadh. Accordingly new branches rolled out in semi prime areas. 

Today, we celebrated “45 years” and we’ve launched our brand video to celebrate our heritage and moments. 

Our Vision:

We are the largest Lebanese restaurant brand, offering consistent high quality and authentic Lebanese food, since 1979


Our Mission:

To maintain consistency in delivering high quality food, and an intuitive customer experience, that matches today’s evolving customer’s needs inline with progressive and dynamic Saudi Arabia.",Restaurants,"501-1,000 employees",Privately Held,"Al Nakhbah, Riyadh, Saudi Arabia",Saudi Arabia,,https://www.linkedin.com/company/burj-al-hamam-ksa,Burj Al Hamam | برج الحمام,https://www.instagram.com/burjalhamam_ksa/,,,,
,Huqqa,"A chic contemporary restaurant and lounge, HUQQA serves breakfast, lunch and dinner, as well as a selection of non-alcoholic drinks and high-calibre shisha’s, underpinned by impeccable service.

HUQQA opened its first venue in
2013 with an aim to offer a dynamic dining experience within design-driven surroundings, delivering a unique experience with style and charisma.
As HUQQA expanded it has opened new venues around the world, spanning Dubai, Oman, Qatar, Saudi Arabia and soon to open locations across Europe.
With each new location HUQQA evolves, reinventing itself as a means for escape, targeted at an intellectually trendy, urban elite. With innovation at its core, HUQQA firmly has the inside track, as a brand that is constantly recreating itself - defining today, whilst shaping the path for what’s next.",Restaurants,"1,001-5,000 employees",Privately Held,"Riyadh, RIY, Saudi Arabia",Saudi Arabia,huqqa.com,https://www.linkedin.com/company/huqqa-gıda-sanayi-ve-ticaret-a-ş-,Huqqa,https://www.instagram.com/huqqariyadh/,Response,+966548901292,,
,Al Tazaj,"In 1989, the first Al Tazaj restaurant opened in Makkah. Sheik Abdulrahman Fakieh, who has owned the Fakieh poultry farm in Saudi Arabia for the past half-century, got the idea when his wife began preparing a small farouj chicken for him every day. The meat of the small chicken is particularly tender and delicious, and the addition of the very traditional Arabian recipe only enhanced its flavor. Shaeik Abdulrahman decided to create a fast food restaurant selling the same BBQ and fresh chicken he has been enjoying. Since then, Al Tazaj has grown rapidly, becoming the first national fast food chain in the Middle East by serving its fresh barbequed chicken in more than 100 locations and using live chicken from Fakieh poultry farm.",Restaurants,"1,001-5,000 employees",Privately Held,"Jeddah, MAK, Saudi Arabia",Saudi Arabia,taza.com.sa,https://www.linkedin.com/company/altazaj,Al Tazaj,https://www.instagram.com/altazaj_fakieh/,Response,+966920000765,,
,Sign SA,If you were waiting for a Sign this is it,Restaurants,51-200 employees,Privately Held,"Riyadh, RIY, Saudi Arabia",Saudi Arabia,signsa.com,https://www.linkedin.com/company/sign-burger,Sign SA,https://www.instagram.com/signsa_/,Response,+966533333170,,
,Swiss Butter,"Swiss Butter is a restaurant brand built around a simple idea: steak, fries and our secret sauce, done right, every time.

As we grow into new restaurants and new markets, our aim stays the same: protect what people love about Swiss Butter and deliver it consistently, wherever we go.

That depends on the people behind it.

We hire you for who you are. We teach you what you need to know. Through the Swiss Butter Academy, you learn our standards, our way of working and what it takes to succeed.

Then it is up to you.

You prove yourself. You grow.

As Swiss Butter expands, new roles open for people who are ready.

We are not for everyone. The work is demanding, and we say so before people join. The promise is not ease. The promise is growth.",Restaurants,"501-1,000 employees",Privately Held,"Al Olaya, RIY, Saudi Arabia",Saudi Arabia,swissbutter.com,https://www.linkedin.com/company/swissbutter,Swiss Butter,https://www.instagram.com/swissbutter/,Response,+966533390630,,
,مطاعم الليوان | Alliwan Restaurants,"منذ ١٤١٤ هـ ، بدأت مطاعم الليوان في عالم البروستد والمخلي لأكثر من ثلاثون عاماً في السعودية ، الرياض 

Since1994, more than thirty years ago Alliwan restaurants were began business with its first branch in AlShifa now we have total 15 branches in Riyadh.

ALLIWAN Fried, Broasted Chicken & Sandwiches.",Restaurants,51-200 employees,Self Owned,"Al Masani, RIY, Saudi Arabia",Saudi Arabia,alliwan.com.sa,https://www.linkedin.com/company/مطاعم-الليوان-alliwan-restaurants,مطاعم الليوان | Alliwan Restaurants,https://www.instagram.com/alliwansa/,Response,+966920010105,,
,Novikov International,"Arkadiy Novikov’s international brand Novikov Restaurant & Bar opened the doors of its flagship restaurant in London’s Mayfair in 2011, and is marking its tenth year with a constellation of new outposts, in Miami, Moscow, Sardinia, Doha, Bodrum, Istanbul, Jeddah, Dubai, Ibiza and Oman.

Since launching, Mayfair has beckoned with a trifecta of the most attractive dining concepts, combining two distinct restaurants - one Italian, the other Pan-Asian - and a Lounge Bar into a world of dining and leisure options.

A carefully-crafted menu highlights an extensive range of techniques and cuisines. Modern and inviting interiors are at once welcoming and relaxing, yet subtle enough not to distract from the food itself.

The most distinctive feature of each Novikov Restaurant is an open kitchen, where chefs work culinary magic in front of abundant displays of seafood delivered from all corners of the world and the best seasonal fruit and vegetables.",Restaurants,"1,001-5,000 employees",Partnership,"Al Shati, Makkah, Saudi Arabia",Saudi Arabia,novikov-restaurants.com,https://www.linkedin.com/company/novikovinternational,Novikov International,https://www.instagram.com/michaeltolkachev/?__d=1%2B,Response,+966920005969,,
,Ms. Môh Bakery,"Ruba Mohtaseb began her love story with the art of baking at the tender age of seven. She embarked on a wonderful journey by striving to create new and original designs, as well as unique flavour pairings that intrigue and excite. At first, she kept her baking batches small to ensure freshness and quality.

With persistence and hard work, she decided to launch her work identity in 2013 by calling it Ms. Môh (Pronounced as Ms. Moo). It was the beginning of a journey whipped with frosting and sprinkled with sugar.

Launching a new brand while holding down a full-time job in the banking sector, Ruba faced many challenges. As the passion project quickly grew into a full-fledged business, she quit her job to focus on the business.

She overcame all the difficulties and successfully managed to transform from being a one-woman show to a full-fledged business. She hopes that her humble philosophy of offering classic homemade desserts brings warmth and comfort to her customers and creates happy memories.

Creating homemade desserts with intricate craft skills and professionalism increased the number of customers. Ruba is on her way to running a successful business by venturing into different business models.

Experience her delicious, high-quality, well-packaged, appealing desserts and customizable cakes that will make your mouth water and your cravings blush while leaving you wanting more!",Restaurants,2-10 employees,Privately Held,"Jeddah, MAK, Saudi Arabia",Saudi Arabia,msmoh.com,https://www.linkedin.com/company/ms-môh-bakery,Ms. Môh Bakery,https://www.instagram.com/msmoh_bakery,Response,+966540584448,Response,hello@msmoh.com
,Blue Oven | بلو اوفن,"Blue Oven is a cloud kitchen based in Al Khobar, Saudi Arabia, offering subscription-based lunch and dinner meals inspired by Saudi and GCC home-style cooking.

We deliver consistent, thoughtfully prepared meals through rotating weekly menus, along with corporate catering and buffet services for businesses and events.

Blue Oven — Real Food, Thoughtfully Prepared.",Restaurants,2-10 employees,Privately Held,"Al Khobar, EAS, Saudi Arabia",Saudi Arabia,,https://www.linkedin.com/company/blueove,Blue Oven | بلو اوفن,https://www.instagram.com/blueoven.sa/,,,,
